시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,제목,문화종류,공연 시작일,공연 마지막일,연령,시간,인터미션,출연진,최종작성일
강릉 원주대학교 해람문화관,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,지변동,,123 번지,죽헌길,7 번,37.76569493,128.8700048,25457,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123 강릉원주대학교,공룡 애니멀 쇼 - 강릉,어린이/가족,2019-06-02,2019-06-02,전체관람가,55분,정보없음,정보없음,2022-11-30
강릉 원주대학교 해람문화관,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,지변동,,123 번지,죽헌길,7 번,37.76569493,128.8700048,25457,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123 강릉원주대학교,장수상회 - 강릉,연극,2019-03-09,2019-03-10,만 8세이상,90분,정보없음,"신구, 이순재, 손숙, 박정수",2022-11-30
강릉아트센터 사임당홀 (대공연장),전시/공연,영화/연극/공연,독립극장,강원도,강릉시,교동,,408 번지,종합운동장길,84 번,37.77164458,128.8954013,25474,강원도 강릉시 종합운동장길 84,강원도 강릉시 교동 408,제2회 강릉 명주인형극제 - 산너머 개똥아,어린이/가족,2015-09-01,2015-09-01,만 7세이상,60분,정보없음,정보없음,2022-11-30
강릉아트센터 사임당홀 (대공연장),전시/공연,영화/연극/공연,독립극장,강원도,강릉시,교동,,408 번지,종합운동장길,84 번,37.77164458,128.8954013,25474,강원도 강릉시 종합운동장길 84,강원도 강릉시 교동 408,친정엄마와 2박3일 - 강릉,연극,2018-10-27,2018-10-28,만 7세이상,100분,정보없음,"강부자, 전미선, 유정기, 이요성, 서자영, 김찬훈, 김정아",2022-11-30
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1 번지,평원로,15 번,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,달나라 연속극,연극,2015-08-14,2015-08-15,전체관람가,90분,정보없음,"김지수, 박영출, 박민선",2022-11-30
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1 번지,평원로,15 번,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,무적의 돈키호테 - 동해,연극,2019-03-27,2019-03-27,중학생이상 관람가,100분,정보없음,"김귀선, 박창순, 정찬희, 김수진, 김수영, 김지원, 송은석, 노정현",2022-11-30
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1 번지,평원로,15 번,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,무정천리 - 동해,연극,2018-04-14,2018-04-14,만 7세이상,90분,정보없음,정보없음,2022-11-30
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1 번지,평원로,15 번,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,찔레꽃 - 동해,연극,2019-09-21,2019-09-21,만 7세이상,110분,정보없음,정보없음,2022-11-30
동해문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,동해시,천곡동,,809-1 번지,평원로,15 번,37.52644915,129.1152394,25755,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1 동해문화예술회관,청춘예찬,연극,2015-11-05,2015-11-05,전체관람가,90분,정보없음,"김지수, 임우현, 박민선, 정찬희",2022-11-30
명주예술마당,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,49-1 번지,경강로2021번길,9-1 번,37.75040333,128.8898121,25535,강원도 강릉시 경강로2021번길 9-1,강원도 강릉시 명주동 49-1 명주예술마당,고시원의 햄릿공주 - 강릉,연극,2019-03-29,2019-03-31,만 13세이상,80분,정보없음,"이새날, 남태관, 김영호, 서유록",2022-11-30
명주예술마당,전시/공연,영화/연극/공연,독립극장,강원도,강릉시,명주동,,49-1 번지,경강로2021번길,9-1 번,37.75040333,128.8898121,25535,강원도 강릉시 경강로2021번길 9-1,강원도 강릉시 명주동 49-1 명주예술마당,세 여자 이야기 - 강릉,연극,2017-06-03,2017-06-08,만 13세이상,80분,정보없음,"박정자, 손숙, 윤석화",2022-11-30
바보 소극장,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,629-5 번지,서부대성로239번길,7 번,37.87333935,127.7448632,24289,강원도 춘천시 서부대성로239번길 7,강원도 춘천시 효자동 629-5,자명교 10대교주 - 부산,연극,2019-12-09,2020-01-31,만 15세이상,95분,정보없음,정보없음,2022-11-30
바보 소극장,전시/공연,영화/연극/공연,독립극장,강원도,춘천시,효자동,,629-5 번지,서부대성로239번길,7 번,37.87333935,127.7448632,24289,강원도 춘천시 서부대성로239번길 7,강원도 춘천시 효자동 629-5,하녀들 - 부산,연극,2018-10-19,2018-12-02,만 14세이상,95분,3분,정보없음,2022-11-30
삼척문화예술회관 대공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2 번지,엑스포로,45 번,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,장수상회 - 삼척,연극,2018-05-11,2018-05-11,만 7세이상,90분,정보없음,"신구, 손숙, 이원재, 윤영민, 이아영, 이서환, 구옥분",2022-11-30
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2 번지,엑스포로,45 번,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,곰,연극,2015-10-25,2015-10-25,전체관람가,90분,정보없음,김지수,2022-11-30
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2 번지,엑스포로,45 번,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,막둥이,연극,2015-05-11,2015-05-14,전체관람가,90분,정보없음,김지수,2022-11-30
삼척문화예술회관 소공연장,전시/공연,영화/연극/공연,독립극장,강원도,삼척시,성남동,,2 번지,엑스포로,45 번,37.43896328,129.1601383,25919,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 2 삼척문화예술회관,옥탑방 달에게 묻다 - 삼척,연극,2016-11-26,2016-11-27,전체관람가,100분,정보없음,"이채현, 전치화",2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,나와 할아버지 - 원주,연극,2019-12-27,2019-12-28,만 7세이상,90분,정보없음,"진선규, 이희준, 서예화, 민준호",2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 아크로바트,어린이/가족,2016-07-15,2016-07-16,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,"제5회 원주아동극페스티벌 - 우리, 달라",어린이/가족,2016-07-08,2016-07-09,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 커다란 방귀,어린이/가족,2016-07-17,2016-07-18,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제5회 원주아동극페스티벌 - 판타스틱 레이져,어린이/가족,2016-07-10,2016-07-11,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제6회 원주아동극페스티벌 - 베,어린이/가족,2017-07-09,2017-07-10,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 백운아트홀,전시/공연,영화/연극/공연,독립극장,강원도,원주시,무실동,,1 번지,시청로,1 번,37.34192499,127.9197228,26384,강원도 원주시 시청로 1,강원도 원주시 무실동 1 원주시청,제6회 원주아동극페스티벌 - 푸른 하늘 은하수,어린이/가족,2017-07-16,2017-07-17,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,더 다이 - 원주,연극,2017-06-27,2017-06-30,만 12세이상,70분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,목마와 숙녀 - 원주,연극,2017-04-08,2017-04-09,전체관람가,90분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,바보아빠 - 원주,어린이/가족,2019-08-15,2019-08-17,전체관람가,90분,정보없음,"노정현, 김수영",2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,어바웃 타임 - 원주,연극,2015-07-14,2015-08-16,만 10세이상,90분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,제8회 원주아동극페스티벌 - 망태할아버지가 온다,어린이/가족,2019-08-21,2019-08-21,전체관람가,50분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,풍경A - 원주,연극,2018-10-19,2018-10-21,전체관람가,80분,정보없음,정보없음,2022-11-30
원주 어울림소극장,전시/공연,영화/연극/공연,독립극장,강원도,원주시,인동,,242-1 번지,중앙로,27 번,37.34627613,127.9537717,26429,강원도 원주시 중앙로 27,강원도 원주시 인동 242-1,풍경A - 원주,연극,2018-07-12,2018-07-13,전체관람가,80분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,2017 원주썸머페스티벌 - 옥탑방 고양이,연극,2017-07-22,2017-07-23,만 13세이상,100분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,2017 원주썸머페스티벌 - 전명출 평전,연극,2017-07-19,2017-07-19,만 13세이상,100분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,나비의 꿈 - 원주,연극,2018-03-23,2018-03-23,만 7세이상,80분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,내사랑 사북 - 원주,연극,2017-05-17,2017-05-18,만 13세이상,80분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,라이어 1탄 - 원주,연극,2019-07-13,2019-07-13,만 13세이상,100분,정보없음,"이동수, 전대현, 정용락, 이정근, 안유민, 김시영, 정보름, 신보희, 권혁준, 김원식, 정영성, 전정욱, 김재목, 김태근",2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,민들레 바람되어 - 원주,연극,2016-12-24,2016-12-24,만 12세이상,90분,정보없음,"전노민, 이일화, 김상규, 강말금",2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,백설공주를 사랑한 난장이 - 원주,연극,2017-12-24,2017-12-25,만 7세이상,80분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,셜록홈즈 - 원주,연극,2017-02-15,2017-02-16,만 7세이상,90분,정보없음,"김경제, 안동혁, 문상준, 박유진, 박재현, 김려원",2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,수상한 흥신소 - 원주,연극,2019-07-18,2019-07-18,만 13세이상,100분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,에스메의 여름 - 원주,어린이/가족,2017-02-18,2017-02-19,만 5세이상,60분,정보없음,정보없음,2022-11-30
원주치악예술관,전시/공연,영화/연극/공연,독립극장,강원도,원주시,명륜동,,589 번지,서원대로,331 번,37.33543707,127.9446056,26447,강원도 원주시 서원대로 331,강원도 원주시 명륜동 589 치악예술관,오백에 삼십 - 원주,연극,2018-07-14,2018-07-15,만 13세이상,90분,정보없음,정보없음,2022-11-30
